2019-01-22 23:27:09 configure libnghttp2-14:amd64 1.18.1-1 <none>
2019-01-22 23:27:09 status unpacked libnghttp2-14:amd64 1.18.1-1
2019-01-22 23:27:09 status half-configured libnghttp2-14:amd64 1.18.1-1
2019-01-22 23:27:09 status installed libnghttp2-14:amd64 1.18.1-1
2019-01-22 23:27:09 configure libldap-common:all 2.4.44+dfsg-5+deb9u2 <none>
2019-01-22 23:27:09 status unpacked libldap-common:all 2.4.44+dfsg-5+deb9u2
2019-01-22 23:27:09 status unpacked libldap-common:all 2.4.44+dfsg-5+deb9u2
2019-01-22 23:27:09 status half-configured libldap-common:all 2.4.44+dfsg-5+deb9u2
2019-01-22 23:27:09 status installed libldap-common:all 2.4.44+dfsg-5+deb9u2
2019-01-22 23:27:09 configure libreadline7:amd64 7.0-3 <none>
2019-01-22 23:27:09 status unpacked libreadline7:amd64 7.0-3
2019-01-22 23:27:09 status half-configured libreadline7:amd64 7.0-3
2019-01-22 23:27:09 status installed libreadline7:amd64 7.0-3
2019-01-22 23:27:09 configure libsasl2-modules-db:amd64 2.1.27~101-g0780600+dfsg-3 <none>
2019-01-22 23:27:09 status unpacked libsasl2-modules-db:amd64 2.1.27~101-g0780600+dfsg-3
2019-01-22 23:27:09 status half-configured libsasl2-modules-db:amd64 2.1.27~101-g0780600+dfsg-3
2019-01-22 23:27:09 status installed libsasl2-modules-db:amd64 2.1.27~101-g0780600+dfsg-3
2019-01-22 23:27:09 configure libsasl2-2:amd64 2.1.27~101-g0780600+dfsg-3 <none>
2019-01-22 23:27:09 status unpacked libsasl2-2:amd64 2.1.27~101-g0780600+dfsg-3
2019-01-22 23:27:09 status half-configured libsasl2-2:amd64 2.1.27~101-g0780600+dfsg-3
2019-01-22 23:27:09 status installed libsasl2-2:amd64 2.1.27~101-g0780600+dfsg-3
2019-01-22 23:27:09 configure gnupg1:amd64 1.4.21-4+deb9u1 <none>
2019-01-22 23:27:09 status unpacked gnupg1:amd64 1.4.21-4+deb9u1
2019-01-22 23:27:09 status half-configured gnupg1:amd64 1.4.21-4+deb9u1
2019-01-22 23:27:09 status installed gnupg1:amd64 1.4.21-4+deb9u1
2019-01-22 23:27:09 configure libtasn1-6:amd64 4.10-1.1+deb9u1 <none>
2019-01-22 23:27:09 status unpacked libtasn1-6:amd64 4.10-1.1+deb9u1
2019-01-22 23:27:09 status half-configured libtasn1-6:amd64 4.10-1.1+deb9u1
2019-01-22 23:27:09 status installed libtasn1-6:amd64 4.10-1.1+deb9u1
2019-01-22 23:27:09 configure libgmp10:amd64 2:6.1.2+dfsg-1 <none>
2019-01-22 23:27:09 status unpacked libgmp10:amd64 2:6.1.2+dfsg-1
2019-01-22 23:27:09 status half-configured libgmp10:amd64 2:6.1.2+dfsg-1
2019-01-22 23:27:09 status installed libgmp10:amd64 2:6.1.2+dfsg-1
2019-01-22 23:27:09 configure libssh2-1:amd64 1.7.0-1 <none>
2019-01-22 23:27:09 status unpacked libssh2-1:amd64 1.7.0-1
2019-01-22 23:27:09 status half-configured libssh2-1:amd64 1.7.0-1
2019-01-22 23:27:09 status installed libssh2-1:amd64 1.7.0-1
2019-01-22 23:27:09 trigproc libc-bin:amd64 2.24-11+deb9u3 <none>
2019-01-22 23:27:09 status half-configured libc-bin:amd64 2.24-11+deb9u3
2019-01-22 23:27:09 status installed libc-bin:amd64 2.24-11+deb9u3
2019-01-22 23:27:09 configure libunistring0:amd64 0.9.6+really0.9.3-0.1 <none>
2019-01-22 23:27:09 status triggers-pending libc-bin:amd64 2.24-11+deb9u3
2019-01-22 23:27:09 status unpacked libunistring0:amd64 0.9.6+really0.9.3-0.1
2019-01-22 23:27:09 status half-configured libunistring0:amd64 0.9.6+really0.9.3-0.1
2019-01-22 23:27:09 status installed libunistring0:amd64 0.9.6+really0.9.3-0.1
2019-01-22 23:27:09 configure libssl1.1:amd64 1.1.0j-1~deb9u1 <none>
2019-01-22 23:27:09 status unpacked libssl1.1:amd64 1.1.0j-1~deb9u1
2019-01-22 23:27:09 status half-configured libssl1.1:amd64 1.1.0j-1~deb9u1
2019-01-22 23:27:10 status installed libssl1.1:amd64 1.1.0j-1~deb9u1
2019-01-22 23:27:10 configure openssl:amd64 1.1.0j-1~deb9u1 <none>
2019-01-22 23:27:10 status unpacked openssl:amd64 1.1.0j-1~deb9u1
2019-01-22 23:27:10 status unpacked openssl:amd64 1.1.0j-1~deb9u1
2019-01-22 23:27:10 status half-configured openssl:amd64 1.1.0j-1~deb9u1
2019-01-22 23:27:10 status installed openssl:amd64 1.1.0j-1~deb9u1
2019-01-22 23:27:10 configure libffi6:amd64 3.2.1-6 <none>
2019-01-22 23:27:10 status unpacked libffi6:amd64 3.2.1-6
2019-01-22 23:27:10 status half-configured libffi6:amd64 3.2.1-6
2019-01-22 23:27:10 status installed libffi6:amd64 3.2.1-6
2019-01-22 23:27:10 configure libkeyutils1:amd64 1.5.9-9 <none>
2019-01-22 23:27:10 status unpacked libkeyutils1:amd64 1.5.9-9
2019-01-22 23:27:10 status half-configured libkeyutils1:amd64 1.5.9-9
2019-01-22 23:27:10 status installed libkeyutils1:amd64 1.5.9-9
2019-01-22 23:27:10 configure ca-certificates:all 20161130+nmu1+deb9u1 <none>
2019-01-22 23:27:10 status unpacked ca-certificates:all 20161130+nmu1+deb9u1
2019-01-22 23:27:10 status half-configured ca-certificates:all 20161130+nmu1+deb9u1
2019-01-22 23:27:12 status installed ca-certificates:all 20161130+nmu1+deb9u1
2019-01-22 23:27:12 status triggers-pending ca-certificates:all 20161130+nmu1+deb9u1
2019-01-22 23:27:12 configure libidn11:amd64 1.33-1 <none>
2019-01-22 23:27:12 status unpacked libidn11:amd64 1.33-1
2019-01-22 23:27:12 status half-configured libidn11:amd64 1.33-1
2019-01-22 23:27:12 status installed libidn11:amd64 1.33-1
2019-01-22 23:27:12 configure libidn2-0:amd64 0.16-1+deb9u1 <none>
2019-01-22 23:27:12 status unpacked libidn2-0:amd64 0.16-1+deb9u1
2019-01-22 23:27:12 status half-configured libidn2-0:amd64 0.16-1+deb9u1
2019-01-22 23:27:12 status installed libidn2-0:amd64 0.16-1+deb9u1
2019-01-22 23:27:12 configure libpsl5:amd64 0.17.0-3 <none>
2019-01-22 23:27:12 status unpacked libpsl5:amd64 0.17.0-3
2019-01-22 23:27:12 status half-configured libpsl5:amd64 0.17.0-3
2019-01-22 23:27:12 status installed libpsl5:amd64 0.17.0-3
2019-01-22 23:27:12 configure libkrb5support0:amd64 1.15-1+deb9u1 <none>
2019-01-22 23:27:12 status unpacked libkrb5support0:amd64 1.15-1+deb9u1
2019-01-22 23:27:12 status half-configured libkrb5support0:amd64 1.15-1+deb9u1
2019-01-22 23:27:12 status installed libkrb5support0:amd64 1.15-1+deb9u1
2019-01-22 23:27:12 configure libhogweed4:amd64 3.3-1+b2 <none>
2019-01-22 23:27:12 status unpacked libhogweed4:amd64 3.3-1+b2
2019-01-22 23:27:12 status half-configured libhogweed4:amd64 3.3-1+b2
2019-01-22 23:27:12 status installed libhogweed4:amd64 3.3-1+b2
2019-01-22 23:27:12 configure libp11-kit0:amd64 0.23.3-2 <none>
2019-01-22 23:27:12 status unpacked libp11-kit0:amd64 0.23.3-2
2019-01-22 23:27:12 status half-configured libp11-kit0:amd64 0.23.3-2
2019-01-22 23:27:12 status installed libp11-kit0:amd64 0.23.3-2
2019-01-22 23:27:12 configure libk5crypto3:amd64 1.15-1+deb9u1 <none>
2019-01-22 23:27:12 status unpacked libk5crypto3:amd64 1.15-1+deb9u1
2019-01-22 23:27:12 status half-configured libk5crypto3:amd64 1.15-1+deb9u1
2019-01-22 23:27:12 status installed libk5crypto3:amd64 1.15-1+deb9u1
2019-01-22 23:27:12 configure libgnutls30:amd64 3.5.8-5+deb9u4 <none>
2019-01-22 23:27:12 status unpacked libgnutls30:amd64 3.5.8-5+deb9u4
